,text
0,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an AI specialized in the task of annotating grammatical errors.<|eot_id|><|start_header_id|>user<|end_header_id|>

Annotate the target sentence below with the following tags, in XML style. Reproduce the full sentence and annotate each error.

Annotate the following target sentence, without providing any explanation:

ok, another prompt please###<|eot_id|><|start_header_id|>assistant<|end_header_id|>

<DMCC corr=""Ok"">ok</DMCC>, another prompt please<|eot_id|>"
1,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an AI specialized in the task of annotating grammatical errors.<|eot_id|><|start_header_id|>user<|end_header_id|>

Annotate the target sentence below with the following tags, in XML style. Reproduce the full sentence and annotate each error.

Annotate the following target sentence, without providing any explanation:

thank you very much for your availability but lets switch scenario.    now I want to do a small talk  about something really ""painful"" for me###<|eot_id|><|start_header_id|>assistant<|end_header_id|>

<DMCC corr=""Thank"">thank</DMCC> you very much for your availability but <FS corr=""let's"">lets</FS> switch <GNN corr=""scenarios"">scenario</GNN>. <DMCC corr=""Now"">now</DMCC> I want to do a small talk <WM corr=""activity"">\0</WM> about something really ""painful"" for me<|eot_id|>"
2,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an AI specialized in the task of annotating grammatical errors.<|eot_id|><|start_header_id|>user<|end_header_id|>

Annotate the target sentence below with the following tags, in XML style. Reproduce the full sentence and annotate each error.

Annotate the following target sentence, without providing any explanation:

i really like worked there###<|eot_id|><|start_header_id|>assistant<|end_header_id|>

<DMCC corr=""I"">i</DMCC> really <XVCO corr=""liked working"">None</XVCO> there <GVT corr=""liked"">like</GVT> worked<|eot_id|>"
3,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an AI specialized in the task of annotating grammatical errors.<|eot_id|><|start_header_id|>user<|end_header_id|>

Annotate the target sentence below with the following tags, in XML style. Reproduce the full sentence and annotate each error.

Annotate the following target sentence, without providing any explanation:

how could you!!!???? With my cousin who is 30 years older than us!! I can't believe you'd do this to me never in a million years###<|eot_id|><|start_header_id|>assistant<|end_header_id|>

<DMCC corr=""How"">how</DMCC> could you!!!???? With my cousin who is 30 years older than us!! I can't believe you'd do this to me never in a million years<|eot_id|>"
4,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an AI specialized in the task of annotating grammatical errors.<|eot_id|><|start_header_id|>user<|end_header_id|>

Annotate the target sentence below with the following tags, in XML style. Reproduce the full sentence and annotate each error.

Annotate the following target sentence, without providing any explanation:

what do you think about the combination of gym and waterpolo?###<|eot_id|><|start_header_id|>assistant<|end_header_id|>

<DMCC corr=""What"">what</DMCC> do you think about the combination of gym and <FS corr=""water polo"">waterpolo</FS>?<|eot_id|>"
5,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an AI specialized in the task of annotating grammatical errors.<|eot_id|><|start_header_id|>user<|end_header_id|>

Annotate the target sentence below with the following tags, in XML style. Reproduce the full sentence and annotate each error.

Annotate the following target sentence, without providing any explanation:

I already knew these facts. Why don't you share some more nuanced perspectives?###<|eot_id|><|start_header_id|>assistant<|end_header_id|>

I already knew these facts. Why don't you share some more nuanced perspectives?<|eot_id|>"
6,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an AI specialized in the task of annotating grammatical errors.<|eot_id|><|start_header_id|>user<|end_header_id|>

Annotate the target sentence below with the following tags, in XML style. Reproduce the full sentence and annotate each error.

Annotate the following target sentence, without providing any explanation:

The win of Serie A was simply Amazing, the squad was perfect.
		For the premier league i follow in particolar Arsenal but somethimes also Liverpool and Chelsea###<|eot_id|><|start_header_id|>assistant<|end_header_id|>

<LWCO corr=""The Serie A win"">The win of Serie A</LWCO> was simply <DMCC corr=""amazing"">Amazing</DMCC>, the squad was perfect. <LSPR corr=""In"">For</LSPR> the <DMCC corr=""Premier League"">premier league</DMCC> <WO corr=""I follow Arsenal in particular"">None</WO> but <DMCC corr=""I"">i</DMCC> follow in particolar Arsenal <FS corr=""sometimes"">somethimes</FS> also Liverpool and Chelsea<|eot_id|>"
7,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an AI specialized in the task of annotating grammatical errors.<|eot_id|><|start_header_id|>user<|end_header_id|>

Annotate the target sentence below with the following tags, in XML style. Reproduce the full sentence and annotate each error.

Annotate the following target sentence, without providing any explanation:

""no no no, Ju-Jutsu kaisen is a manga whit a characters that there are stregon and they fight vs demons""###<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"" <DMCC corr=""No"">no</DMCC> no no, <DMCC corr=""Ju-Jutsu Kaisen"">Ju-Jutsu kaisen</DMCC> is a manga <FS corr=""with"">whit</FS> <GA corr=""\0"">a</GA> characters <GPR corr=""who"">that</GPR> <WR corr=""\0"">there</WR> are <LWCO corr=""sorcerers"">stregon</LWCO> and <WR corr=""\0"">they</WR> fight <DMCA corr=""against"">vs</DMCA> demons""<|eot_id|>"
8,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an AI specialized in the task of annotating grammatical errors.<|eot_id|><|start_header_id|>user<|end_header_id|>

Annotate the target sentence below with the following tags, in XML style. Reproduce the full sentence and annotate each error.

Annotate the following target sentence, without providing any explanation:

I'd like to know more about the apartment first###<|eot_id|><|start_header_id|>assistant<|end_header_id|>

I'd like to know more about the apartment first<|eot_id|>"
9,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an AI specialized in the task of annotating grammatical errors.<|eot_id|><|start_header_id|>user<|end_header_id|>

Annotate the target sentence below with the following tags, in XML style. Reproduce the full sentence and annotate each error.

Annotate the following target sentence, without providing any explanation:

Well I was thinking of rewatching for the 100th time fast & furious###<|eot_id|><|start_header_id|>assistant<|end_header_id|>

Well <QM corr="","">\0</QM> I was thinking of rewatching <WO corr=""Fast & Furious for the 100th time"">for the 100th time </WO> <DMCC corr=""Fast & Furious"">fast & furious</DMCC><|eot_id|>"
